Camera_Model,Serial_Number,Camera_Number,Deployment_Number,Deploy_Location,SID,US_DS,Start_Date,End_Date,Sname
Moultrie M 880,130671607002293,21,4,Pendleton Hill Brook,15796,US,071118,080818,PendletonHillBrook
Moultrie M 880,130671604005306,30,2,Mount Hope River,15801,DS,071118,080818,MountHopeRiver
Moultrie M 880,130671607012759,15,4,Ogden Brook,19707,DS,071118,080818,OgdenBrook
Moultrie M 880,130671607013136,16,4,Ogden Brook,16322,US,071118,080818,OgdenBrook
Moultrie M 999i,130351602003207,27,3,Nonewaug River,16274,US,071818,081518,NonewaugRiver
Moultrie M 880,130671512009170,34,1,Comstock Brook,19022,DS,071818,081518,ComstockBrook
Moultrie M 880,130671512008810,8,4,Nonewaug River,20050,DS,071818,081518,NonewaugRiver
Moultrie M 880,130671607012901,13,5,Mill River,19141,DS,071818,081518,MillRiver
Moultrie M 880,130671607002294,12,4,NNT to Hawleys Brook,18536,DS,071818,081518,NNTtoHawleysBrook
Moultrie M 880,130671607001062,11,4,NNT to Hawleys Brook,19013,DS,071818,081518,NNTtoHawleysBrook
Moultrie M 999i,130351602002079,22,3,Cobble Brook,15244,DS,072418,082118,CobbleBrook
Moultrie M 999i,130351602002080,23,3,Burton Brook,14523,DS,072418,082118,BurtonBrook
Moultrie M 999i,130351602002513,25,3,Spruce Swamp Creek,15100,US,072418,082118,SpruceSwampCreek
Moultrie M 880,130671607012760,17,6,Brown Brook,16139,US,072418,082118,BrownBrook
Moultrie M 40,131811610008337,32,2,Bunnell Brook,19657,US,072418,082118,BunnellBrook
Moultrie M 880,130671512009169,33,1,Salmon Creek,14434,US,072418,082118,SalmonCreek
Spypoint Force,1G703-00741,29,3,Poland River,19711,US,080118,082918,PolandRiver
Moultrie M 999i,130351602002514,26,3,Hubbard River,15240,US,080118,082918,HubbardRiver
Moultrie M 550,127171412005269,1,7,Branch Brook,19097,DS,080118,082918,BranchBrook
Moultrie M 40,131811610008338,31,2,West Branch Salmon Brook,15499,US,080118,082918,WestBranchSalmonBrook
Moultrie M 999,130351602003208,28,2,Chidsey Brook,16046,US,080118,092218,ChidseyBrook
Moultrie M 550,127171412005404,3,7,Mount Hope River,18421,DS,080818,090518,MountHopeRiverSite1
Moultrie M 550,127171412005251,4,5,Mount Hope River,18421,US,080818,090518,MountHopeRiverSite2
Moultrie M 550,127171412005259,5,5,Mount Hope River,18421,DS,080818,090518,MountHopeRiverSite3
Moultrie M 880,130671607002244,20,5,East Branch Eightmile,18720,DS,080818,090518,EastBranchEightmileRiver
Moultrie M 880,130671607002293,21,5,Pendleton Hill Brook,15796,US,080818,090518,PendletonHillBrook
Moultrie M 880,130671604005306,30,3,Mount Hope River,15801,DS,080818,090518,MountHopeRiver
Moultrie M 880,130671607012759,15,5,Ogden Brook,19707,DS,080818,090518,OgdenBrook
Moultrie M 880,130671607013136,16,5,Ogden Brook,16322,US,080818,090518,OgdenBrook
Bushnell,?,38,1,Bride Brook,17534,US,080818,090518,BrideBrook
Moultrie M 999i,130351602003207,27,4,Nonewaug River,16274,US,081518,091218,NonewaugRiver
Moultrie M 880,130671512008810,8,5,Nonewaug River,20050,DS,081518,091218,NonewaugRiver
Moultrie M 880,130671512009170,34,2,Comstock Brook,19022,US,081518,091218,ComstockBrook
Moultrie M 880,130671607002294,12,5,NNT to Hawleys Brook,18536,DS,081518,091218,NNTtoHawleysBrook
Moultrie M 880,130671607001062,11,5,NNT to Hawleys Brook,19013,DS,081518,091218,NNTtoHawleysBrook
Moultrie M 880,130671607012901,13,6,Mill River,19141,DS,081518,091218,MillRiver
Moultrie M 999i,130351602002079,22,4,Cobble Brook,15244,DS,082118,091918,CobbleBrook
Moultrie M 880,130671604005590,36,1,Burton Brook,14523,US,082118,091918,BurtonBrookSite2
Moultrie M 999i,130351602002513,25,4,Spruce Swamp Creek,15100,US,082118,091918,SpruceSwampCreek
Moultrie M 880,130671607012760,17,7,Brown Brook,16139,US,082118,091918,BrownBrook
Moultrie M 880,130671604005589,35,1,Bunnell Brook,19657,US,082118,091918,BunnellBrook
