fpath,sid,name,sdate,edate,MultiSite
19707_OgdenBrook_080818_090518,19707,OgdenBrook,80818,90518,FALSE
18720_EastBranchEightmileRiver_080818_090518,18720,EastBranchEightmileRiver,80818,90518,FALSE
15796_PendletonHillBrook_080818_090518,15796,PendletonHillBrook,80818,90518,FALSE
16139_BrownBrook_082118_091918,16139,BrownBrook,82118,91918,FALSE
15801_MountHopeRiver_080818_090518,15801,MountHopeRiver,80818,90518,FALSE
16322_OgdenBrook_080818_090518,16322,OgdenBrook,80818,90518,FALSE
17534_BrideBrook_080818_090518,17534,BrideBrook,80818,90518,FALSE
19022_ComstockBrook_081518_091218,19022,ComstockBrook,81518,91218,FALSE
16274_NonewaugRiver_081518_091218,16274,NonewaugRiver,81518,91218,FALSE
20050_NonewaugRiver_081518_091218,20050,NonewaugRiver,81518,91218,FALSE
18536_NNTtoHawleysBrook_081518_091218,18536,NNTtoHawleysBrook,81518,91218,FALSE
19013_NNTtoHawleysBrook_081518_091218,19013,NNTtoHawleysBrook,81518,91218,FALSE
19141_MillRiver_081518_091218,19141,MillRiver,81518,91218,FALSE
15244_CobbleBrook_082118_091918,15244,CobbleBrook,82118,91918,FALSE
15100_SpruceSwampCreek_082118_091918,15100,SpruceSwampCreek,82118,91918,FALSE
19657_BunnellBrook_082118_091918,19657,BunnellBrook,82118,91918,FALSE
15240_HubbardRiver_082918_100318,15240,HubbardRiver,82918,100318,FALSE
16046_ChidseyBrook_080118_092218,16046,ChidseyBrook,80118,92218,FALSE
15499_WestBranchSalmonBrook_082918_100318,15499,WestBranchSalmonBrook,82918,100318,FALSE
18720_EastBranchEightmileRiver_090518_101718,18720,EastBranchEightmileRiver,90518,101718,FALSE
15796_PendletonHillBrook_090518_101718,15796,PendletonHillBrook,90518,101718,FALSE
19707_OgdenBrook_090518_101718,19707,OgdenBrook,90518,101718,FALSE
16322_OgdenBrook_090518_101718,16322,OgdenBrook,90518,101718,FALSE
17534_BrideBrook_090518_101718,17534,BrideBrook,90518,101718,FALSE
19022_ComstockBrook_091218_092518,19022,ComstockBrook,91218,92518,FALSE
16274_NonewaugRiver_091218_102418,16274,NonewaugRiver,91218,102418,FALSE
20050_NonewaugRiver_091218_102418,20050,NonewaugRiver,91218,102418,FALSE
18536_NNTtoHawleysBrook_091218_102418,18536,NNTtoHawleysBrook,91218,102418,FALSE
19013_NNTtoHawleysBrook_091218_102418,19013,NNTtoHawleysBrook,91218,102418,FALSE
14523_BurtonBrook_082118_103118,14523,BurtonBrook,82118,103118,FALSE
14434_SalmonCreek_082118_102818,14434,SalmonCreek,82118,102818,FALSE
15244_CobbleBrook_091918_103118,15244,CobbleBrook,91918,103118,FALSE
15100_SpruceSwampCreek_091918_092718,15100,SpruceSwampCreek,91918,92718,FALSE
16139_BrownBrook_091918_103118,16139,BrownBrook,91918,103118,FALSE
19657_BunnellBrook_091918_103118,19657,BunnellBrook,91918,103118,FALSE
19097_BranchBrook_082918_110818,19097,BranchBrook,82918,110818,FALSE
19711_PolandRiver_082918_110818,19711,PolandRiver,82918,110818,FALSE
15499_WestBranchSalmonBrook_100318_110818,15499,WestBranchSalmonBrook,100318,110818,FALSE
15240_HubbardRiver_100318_110818,15240,HubbardRiver,100318,110818,FALSE
18720_EastBranchEightmileRiver_101718_111918,18720,EastBranchEightmileRiver,101718,111918,FALSE
15796_PendletonHillBrook_101718_101818,15796,PendletonHillBrook,101718,101818,FALSE
19707_OgdenBrook_101718_111918,19707,OgdenBrook,101718,111918,FALSE
16322_OgdenBrook_101718_111918,16322,OgdenBrook,101718,111918,FALSE
17534_BrideBrook_101718_111918,17534,BrideBrook,101718,111918,FALSE
19022_ComstockBrook_102418_120418,19022,ComstockBrook,102418,120418,FALSE
16274_NonewaugRiver_102418_120418,16274,NonewaugRiver,102418,120418,FALSE
18536_NNTtoHawleysBrook_102418_120418,18536,NNTtoHawleysBrook,102418,120418,FALSE
19013_NNTtoHawleysBrook_102418_120418,19013,NNTtoHawleysBrook,102418,120418,FALSE
19141_MillRiver_091218_120418,19141,MillRiver,91218,120418,FALSE
15240_HubbardRiver_110818_121818,15240,HubbardRiver,110818,121818,FALSE
16046_ChidseyBrook_092218_101718,16046,ChidseyBrook,92218,101718,FALSE
19657_BunnellBrook_103118_122718,19657,BunnellBrook,103118,122718,FALSE
